header	CDS length	ramp length	non-ramp min mean	ramp min mean	ramp strength	num ramp region status changing mutations	num non-ramp region status changing mutations	num reasonably valid ramp mutations	num reasonably valid non-ramp mutations	ramp robustness
>lcl|NC_001139.9_cds_NP_001335783.1_2276 [locus_tag=YGR164W] [db_xref=SGD:S000003396,GeneID:853073] [protein=hypothetical protein] [protein_id=NP_001335783.1] [location=828625..828960] [gbkey=CDS]	336	-1	-1.4061614419547008	0.9171025375566366	-2.3232639795113377	0	0	68	399	-1.0
>lcl|NC_001148.4_cds_NP_015133.1_5607 [locus_tag=YPL191C] [db_xref=SGD:S000006112,GeneID:855910] [protein=hypothetical protein] [protein_id=NP_015133.1] [location=complement(183597..184679)] [gbkey=CDS]	1083	-1	-1.464282267408628	-1.3164189724223645	-0.1478632949862635	2	0	147	0	-0.9863945578231292
>lcl|NC_001143.9_cds_NP_012989.3_3539 [gene=LAS1] [locus_tag=YKR063C] [db_xref=SGD:S000001771,GeneID:853937] [protein=rRNA-processing protein LAS1] [protein_id=NP_012989.3] [location=complement(560789..562297)] [gbkey=CDS]	1509	-1	-1.5506389633265052	-1.3187513664410937	-0.2318875968854115	0	0	218	0	-1.0
>lcl|NC_001134.8_cds_NP_009849.1_496 [gene=BSD2] [locus_tag=YBR290W] [db_xref=SGD:S000000494,GeneID:852593] [protein=Bsd2p] [protein_id=NP_009849.1] [location=782591..783556] [gbkey=CDS]	966	-1	-1.5817868587614756	-1.5495046741450984	-0.03228218461637722	1	20	136	55	-0.8900523560209423
>lcl|NC_001138.5_cds_NP_116668.1_1814 [gene=IOC3] [locus_tag=YFR013W] [db_xref=SGD:S000001909,GeneID:850567] [protein=Ioc3p] [protein_id=NP_116668.1] [location=169922..172285] [gbkey=CDS]	2364	-1	-1.7158169631979712	-1.534957305529681	-0.18085965766829015	0	16	331	48	-0.9577836411609498
>lcl|NC_001144.5_cds_NP_013196.1_3738 [gene=IOC2] [locus_tag=YLR095C] [db_xref=SGD:S000004085,GeneID:850784] [protein=Ioc2p] [protein_id=NP_013196.1] [location=complement(329677..332115)] [gbkey=CDS]	2439	-1	-1.478347253612876	-1.3140248869233873	-0.16432236668948885	0	0	311	0	-1.0
>lcl|NC_001145.3_cds_NP_013758.1_4282 [gene=IOC4] [locus_tag=YMR044W] [db_xref=SGD:S000004647,GeneID:855061] [protein=Ioc4p] [protein_id=NP_013758.1] [location=355384..356811] [gbkey=CDS]	1428	66	-1.510790576021214	-1.5254065712465847	0.014615995225370826	15	93	44	2016	0.9475728155339805
>lcl|NC_001136.10_cds_NP_010515.3_1139 [gene=IVY1] [locus_tag=YDR229W] [db_xref=SGD:S000002637,GeneID:851815] [protein=Ivy1p] [protein_id=NP_010515.3] [location=924785..926146] [gbkey=CDS]	1362	-1	-1.8961445842585396	-1.192900018557135	-0.7032445657014046	0	0	206	0	-1.0
>lcl|NC_001148.4_cds_NP_015286.1_5757 [locus_tag=YPL039W] [db_xref=SGD:S000005960,GeneID:856068] [protein=hypothetical protein] [protein_id=NP_015286.1] [location=479225..480175] [gbkey=CDS]	951	-1	-1.6503931981149724	-0.366597710381425	-1.2837954877335473	0	0	145	0	-1.0
>lcl|NC_001137.3_cds_NP_010954.1_1562 [gene=PHM8] [locus_tag=YER037W] [db_xref=SGD:S000000839,GeneID:856759] [protein=bifunctional nucleotidase/lysophosphatidic acid phosphatase] [protein_id=NP_010954.1] [location=225889..226854] [gbkey=CDS]	966	-1	-1.598937071495692	-0.7399968539109912	-0.8589402175847008	2	0	147	0	-0.9863945578231292
